ProjectID,TaskDescription
1,Main
2,Main
3,Main
4,Main
5,Main
5,Cabinetry
5,"Cntr""s, LED, shwr st.,"
5,Consulting 2015
5,"Hardware, panels,Grab bar"
5,"Lighting, Plumbing, Med Cab"
5,Master Drapes
5,McCallister
5,"Michael, Pam"
5,Product Purchases
5,"St.Gl, Pntrydr.BkDrLt"
5,Whole House Design '13
6,Main
6,Mora
7,Main
8,Main
9,Main
10,Main
11,Main
12,Main
13,Main
13,"Basement, Janet's Office"
14,Main
15,Main
16,Main
16,2015 Summer Social
17,Main
18,Main
19,Main
20,Main
21,Main
22,Main
22,Home Office
23,Main
24,Main
25,Main
26,Main
27,Main
27,island guides
28,Main
29,Main
30,Main
31,Main
32,Main
32,laundry
33,Main
34,Main
34,Ceramic Tile
34,Electrical Rough In
34,Cabinetry
34,Landscaping
34,Plumbing Fix.
34,Ltg. Fix
35,Ceramic Tile
36,Main
37,Main
38,Main
39,Main
40,Main
41,Main
42,Main
43,Main
44,Main
45,Main
46,Main
46,Jessco Hills House
46,Master Bath
47,Main
47,Laundry
48,Main
48,La Crosse WTP
49,Main
50,Main
51,Main
52,Main
53,Main
54,Main
55,Main
56,Main
56,"Crown, Cookbk, valance"
57,Main
57,Outdoor Cabinets
57,Outdoor Upper TOp
58,Main
59,Main
60,Main
60,Backsplash
61,Main
62,Main
62,Kitchen
62,medicine cabinet
63,Main
63,"back door trimBurkle,"
63,"bookcase, varithane"
63,Entertmt Center
63,"Girl's Bath, Front door"
63,kitchen
63,Kitchen backsplash
63,Kitchen cabinet skin
63,Pantry
64,Main
65,Main
66,Main
67,Main
67,"Master Closet, New Laundry, WtBr"
67,Tile splash-7% Tx
68,Main
69,Main
70,Main
71,Main
72,Main
73,Main
74,Main
74,Kitchen 2018
74,Tile Backsplash '19
75,Main
76,Main
77,Main
77,Consulting
78,Main
79,Main
80,Main
81,Main
82,Main
83,Main
84,Main
85,Main
86,Main
86,Basement
86,Lighting
86,Lighting-Kitchen
87,Main
87,"Bathroom, Master"
87,Kitchen 2010
88,Main
88,bathroom
88,bathroom 2011
88,Hardware
89,Main
89,LED Lighting
90,Main
91,Main
92,Main
93,Main
94,Main
94,Home Office
94,Kitchen & vanities
95,Main
95,Kitchen/Laundry
96,Main
97,Main
98,Main
99,Main
100,Main
101,Main
102,Main
103,Main
104,Main
105,Main
106,Main
107,Main
108,Main
109,Main
110,Main
111,Main
112,Main
113,Main
114,Main
115,Main
116,Main
116,backsplash
116,Bathrooms
116,Bookcase; Office
116,Kitchen Counters
117,Main
118,Main
119,Main
120,Main
121,Main
122,Main
122,2nd story/Room Addition
123,Main
124,Main
125,Main
126,Main
127,Main
128,Main
128,3 Lab's W4230's
128,laundry
128,Reception desk
129,Main
129,basement in home
129,Kitchen
129,laundry & guest bath
129,Mudd Room
130,Main
131,Main
132,Main
133,Main
134,Main
135,Main
136,Main
136,Frank's House
136,Gary's kitchen
136,Initial Consult Frank & Gary's Hs
136,"Laundry, His House"
137,Main
138,Main
139,Main
140,Main
141,Main
142,Main
143,Main
144,Main
145,Main
146,Main
147,Main
